Run name , :math:`N_{r}`, :math:`N_{\theta}`, :math:`E = \frac{\nu}{\Omega L^2}`, :math:`Pr`, :math:`Pm`, :math:`Ra`, Hyper-diffusion, :math:`\alpha`, :math:`\beta`
:ref:`Geo-1`,      512,     1536,   1.00E-06,   1.00E+00,   5.00E-02,   2.50E+10, .TRUE.,   3.00E+00,   7.00E+00
:ref:`Geo-2`,      512,      768,   1.00E-06,   1.00E+00,   1.00E-01,   1.00E+10, .TRUE.,   4.00E+00,   7.00E+00
:ref:`Geo-3`,      512,      768,   1.00E-06,   1.00E+00,   2.00E-01,   5.00E+09, .FALSE.,   5.00E+00,   7.00E+00
:ref:`Geo-4`,      256,      768,   1.00E-06,   1.00E-01,   5.00E-02,   2.50E+09, .TRUE.,   4.00E+00,   7.00E+00
:ref:`Geo-5`,      256,      768,   1.00E-06,   1.00E+00,   5.00E-01,   3.00E+09, .FALSE.,   0.00E+00,   0.00E+00
:ref:`Geo-6`,      256,      768,   1.00E-06,   1.00E+00,   1.00E+00,   3.00E+09, .TRUE.,   3.00E+00,   6.00E+00
:ref:`Geo-7`,      512,     1536,   1.00E-07,   1.00E+00,   3.00E-02,   3.00E+11, .TRUE.,   8.00E+00,   5.00E+00
:ref:`Geo-8`,      512,     1536,   1.00E-07,   1.00E+00,   5.00E-02,   1.50E+11, .TRUE.,   3.00E+00,   1.00E+01
:ref:`Geo-9`,      512,     1536,   1.00E-07,   1.00E+00,   2.00E-01,   6.00E+10, .TRUE.,   2.00E+00,   9.00E+00
